Student.id,GPA,Achievement,Organization,Recommendation,Work.experience,Status
000001,3.93,5,FALSE,TRUE,FALSE,y
000002,3.51,0,TRUE,FALSE,FALSE,n
000003,3.99,2,TRUE,TRUE,FALSE,y
000004,3.92,4,FALSE,TRUE,TRUE,y
000005,3.7,2,FALSE,TRUE,FALSE,y
000006,3.38,1,TRUE,TRUE,FALSE,n
000007,3.4,0,TRUE,TRUE,TRUE,n
000008,3.77,3,TRUE,TRUE,FALSE,y
000009,3.44,1,TRUE,FALSE,FALSE,n
000010,3.42,1,FALSE,FALSE,FALSE,n
000011,3.9,5,TRUE,TRUE,TRUE,y
000012,3.34,1,FALSE,FALSE,FALSE,n
000013,3.5,0,TRUE,FALSE,FALSE,n
000014,3.9,1,FALSE,TRUE,FALSE,y
000015,3.34,0,TRUE,TRUE,FALSE,n
000016,3.32,1,TRUE,FALSE,FALSE,n
000017,3.95,3,TRUE,TRUE,TRUE,y
000018,3.71,2,FALSE,TRUE,FALSE,y
000019,3.39,0,TRUE,FALSE,FALSE,n
000020,3.72,2,FALSE,TRUE,FALSE,y
000021,3.51,1,FALSE,FALSE,FALSE,n
000022,3.85,2,TRUE,TRUE,TRUE,y
000023,3.36,0,TRUE,FALSE,FALSE,n
000024,3.67,5,TRUE,TRUE,FALSE,y
000025,3.79,5,TRUE,TRUE,FALSE,y
000026,3.54,1,TRUE,FALSE,TRUE,n
000027,3.76,3,TRUE,FALSE,FALSE,y
000028,3.74,1,FALSE,TRUE,TRUE,y
000029,3.33,1,TRUE,FALSE,TRUE,n
000030,3.89,4,FALSE,TRUE,TRUE,y
000031,3.81,2,FALSE,TRUE,TRUE,y
000032,3.42,1,FALSE,FALSE,FALSE,n
000033,3.33,1,FALSE,FALSE,FALSE,n
000034,3.35,1,FALSE,FALSE,FALSE,n
000035,3.9,3,TRUE,TRUE,TRUE,y
000036,3.73,1,TRUE,TRUE,FALSE,y
000037,3.48,1,FALSE,FALSE,FALSE,n
000038,3.83,3,TRUE,TRUE,TRUE,y
000039,3.33,1,FALSE,FALSE,FALSE,n
000040,3.94,1,FALSE,TRUE,TRUE,y
000041,3.41,1,TRUE,TRUE,FALSE,n
000042,3.87,1,TRUE,TRUE,FALSE,y
000043,3.58,1,FALSE,FALSE,FALSE,n
000044,3.78,3,TRUE,TRUE,FALSE,y
000045,3.33,0,TRUE,TRUE,FALSE,n
000046,3.82,4,FALSE,TRUE,FALSE,y
000047,3.67,3,FALSE,TRUE,FALSE,y
000048,3.39,0,FALSE,TRUE,TRUE,n
000049,3.35,0,FALSE,FALSE,FALSE,n
000050,3.79,1,TRUE,TRUE,FALSE,y
000051,3.79,5,FALSE,TRUE,TRUE,y
000052,3.52,0,FALSE,FALSE,TRUE,n
000053,3.91,1,FALSE,TRUE,TRUE,y
000054,3.8,1,FALSE,TRUE,FALSE,y
000055,3.63,1,TRUE,FALSE,TRUE,n
000056,3.72,1,TRUE,TRUE,TRUE,y
000057,3.73,2,TRUE,TRUE,FALSE,y
000058,3.83,1,TRUE,TRUE,TRUE,y
000059,3.88,5,FALSE,TRUE,FALSE,y
000060,3.57,0,TRUE,FALSE,TRUE,n
000061,3.81,5,TRUE,TRUE,TRUE,y
000062,3.93,2,FALSE,TRUE,TRUE,y
000063,3.51,0,FALSE,FALSE,FALSE,n
000064,3.77,2,TRUE,TRUE,FALSE,y
000065,3.76,1,FALSE,TRUE,FALSE,y
000066,3.76,4,TRUE,TRUE,FALSE,y
000067,3.38,1,FALSE,FALSE,FALSE,n
000068,3.63,1,TRUE,FALSE,FALSE,n
000069,3.77,4,TRUE,TRUE,FALSE,y
000070,3.32,0,FALSE,TRUE,TRUE,n
000071,3.82,2,TRUE,TRUE,TRUE,y
000072,3.96,1,TRUE,TRUE,FALSE,y
000073,3.5,1,FALSE,FALSE,FALSE,n
000074,3.46,0,FALSE,FALSE,TRUE,n
000075,3.99,2,FALSE,TRUE,TRUE,y
000076,3.68,1,TRUE,TRUE,FALSE,y
000077,3.34,1,TRUE,TRUE,FALSE,n
000078,3.87,3,FALSE,FALSE,TRUE,y
000079,3.61,1,TRUE,FALSE,TRUE,n
000080,3.58,1,FALSE,FALSE,FALSE,n
000081,3.57,0,FALSE,TRUE,TRUE,n
000082,3.36,0,TRUE,FALSE,FALSE,n
000083,3.45,0,TRUE,TRUE,TRUE,n
000084,3.41,1,TRUE,TRUE,FALSE,n
000085,3.36,1,TRUE,FALSE,FALSE,n
000086,3.75,5,FALSE,TRUE,TRUE,y
000087,3.84,3,FALSE,TRUE,FALSE,y
000088,3.51,0,FALSE,FALSE,FALSE,n
000089,3.52,1,FALSE,FALSE,TRUE,n
000090,3.82,1,FALSE,FALSE,FALSE,y
000091,3.4,1,FALSE,FALSE,FALSE,n
000092,3.53,0,FALSE,FALSE,FALSE,n
000093,3.45,1,TRUE,FALSE,TRUE,n
000094,3.93,4,TRUE,TRUE,FALSE,y
000095,3.94,2,FALSE,TRUE,FALSE,y
000096,3.46,1,FALSE,FALSE,TRUE,n
000097,3.6,1,FALSE,TRUE,TRUE,n
000098,3.92,2,TRUE,TRUE,TRUE,y
000099,3.34,1,FALSE,TRUE,FALSE,n
000100,3.93,4,FALSE,TRUE,FALSE,y
000101,3.85,5,TRUE,TRUE,TRUE,y
000102,3.53,1,TRUE,FALSE,TRUE,n
000103,3.35,1,FALSE,TRUE,TRUE,n
000104,3.35,1,FALSE,FALSE,TRUE,n
000105,3.48,0,TRUE,FALSE,TRUE,n
000106,3.9,4,TRUE,TRUE,FALSE,y
000107,3.61,0,FALSE,TRUE,TRUE,n
000108,3.96,2,FALSE,TRUE,FALSE,y
000109,3.95,3,FALSE,TRUE,FALSE,y
000110,3.94,3,FALSE,TRUE,FALSE,y
000111,3.9,5,TRUE,TRUE,TRUE,y
000112,3.62,0,TRUE,TRUE,FALSE,n
000113,3.59,1,TRUE,FALSE,FALSE,n
000114,3.91,2,FALSE,TRUE,FALSE,y
000115,3.55,0,FALSE,FALSE,FALSE,n
000116,3.55,0,TRUE,FALSE,TRUE,n
000117,3.74,5,TRUE,TRUE,TRUE,y
000118,3.36,0,FALSE,FALSE,FALSE,n
000119,3.4,1,TRUE,FALSE,FALSE,n
000120,3.57,1,FALSE,FALSE,TRUE,n
000121,3.42,1,FALSE,FALSE,FALSE,n
000122,3.64,1,TRUE,FALSE,FALSE,n
000123,3.9,1,TRUE,TRUE,FALSE,y
000124,3.45,1,FALSE,FALSE,FALSE,n
000125,3.7,2,FALSE,TRUE,FALSE,y
000126,3.93,2,FALSE,TRUE,TRUE,y
000127,3.4,0,TRUE,FALSE,FALSE,n
000128,3.39,0,TRUE,FALSE,FALSE,n
000129,3.43,0,FALSE,FALSE,TRUE,n
000130,3.96,1,FALSE,TRUE,TRUE,y
000131,3.5,1,FALSE,TRUE,FALSE,n
000132,3.43,1,FALSE,FALSE,FALSE,n
000133,3.96,5,FALSE,TRUE,FALSE,y
000134,3.79,3,FALSE,FALSE,TRUE,y
000135,3.32,0,TRUE,FALSE,FALSE,n
000136,3.62,1,TRUE,TRUE,FALSE,n
000137,3.71,4,TRUE,TRUE,FALSE,y
000138,3.46,0,FALSE,FALSE,TRUE,n
000139,3.45,0,FALSE,FALSE,FALSE,n
000140,3.36,1,TRUE,FALSE,TRUE,n
000141,3.5,0,TRUE,FALSE,FALSE,n
000142,3.58,1,FALSE,FALSE,FALSE,n
000143,3.65,0,FALSE,FALSE,TRUE,n
000144,3.9,3,FALSE,TRUE,FALSE,y
