ID;Age;Family_Time;Works;Entertainment;Social_Life;Sleep;Economy
1;36;7 hours/week;10 hours/week;1 hours;1 hours;3 hours daily;0
2;21;19 hours/week;40 hours/week;5 hours;5 hours;7 hours daily;4
3;37;23 hours/week;51 hours/week;9 hours;9 hours;9 hours daily;5
4;37;26 hours/week;44 hours/week;9 hours;9 hours;9 hours daily;5
5;28;10 hours/week;27 hours/week;1 hours;1 hours;3 hours daily;0
6;37;16 hours/week;38 hours/week;3 hours;3 hours;6 hours daily;4
7;35;28 hours/week;51 hours/week;10 hours;10 hours;7 hours daily;5
8;25;24 hours/week;52 hours/week;8 hours;8 hours;7 hours daily;5
9;36;14 hours/week;37 hours/week;3 hours;3 hours;6 hours daily;2
10;27;11 hours/week;8 hours/week;2 hours;2 hours;4 hours daily;1
11;25;24 hours/week;60 hours/week;8 hours;8 hours;8 hours daily;5
12;37;23 hours/week;46 hours/week;7 hours;7 hours;9 hours daily;5
13;37;14 hours/week;32 hours/week;4 hours;4 hours;7 hours daily;2
14;31;12 hours/week;18 hours/week;2 hours;2 hours;3 hours daily;0
15;38;21 hours/week;42 hours/week;9 hours;9 hours;7 hours daily;5
16;22;15 hours/week;38 hours/week;4 hours;4 hours;6 hours daily;2
17;34;24 hours/week;46 hours/week;11 hours;9 hours;7 hours daily;5
18;37;19 hours/week;35 hours/week;6 hours;6 hours;7 hours daily;4
19;37;22 hours/week;43 hours/week;8 hours;8 hours;9 hours daily;5
20;34;0 hours/week;0 hours/week;2 hours;2 hours;6 hours daily;1
21;30;9 hours/week;3 hours/week;2 hours;2 hours;5 hours daily;0
22;31;16 hours/week;30 hours/week;2 hours;2 hours;6 hours daily;2
23;20;17 hours/week;35 hours/week;4 hours;4 hours;6 hours daily;3
24;34;27 hours/week;54 hours/week;8 hours;8 hours;7 hours daily;5
25;39;21 hours/week;41 hours/week;9 hours;9 hours;9 hours daily;5
26;29;17 hours/week;30 hours/week;4 hours;4 hours;6 hours daily;4
27;26;9 hours/week;18 hours/week;11 hours;0 hours;3 hours daily;2
28;28;22 hours/week;59 hours/week;7 hours;7 hours;8 hours daily;5
29;21;24 hours/week;46 hours/week;6 hours;6 hours;9 hours daily;5
30;22;21 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;2
31;27;0 hours/week;21 hours/week;1 hours;1 hours;5 hours daily;2
32;38;11 hours/week;9 hours/week;2 hours;2 hours;4 hours daily;0
33;39;26 hours/week;45 hours/week;10 hours;10 hours;8 hours daily;5
34;35;18 hours/week;36 hours/week;11 hours;2 hours;6 hours daily;4
35;34;20 hours/week;33 hours/week;6 hours;6 hours;6 hours daily;3
36;40;20 hours/week;40 hours/week;4 hours;4 hours;7 hours daily;3
37;35;14 hours/week;9 hours/week;2 hours;2 hours;5 hours daily;1
38;23;15 hours/week;39 hours/week;3 hours;3 hours;7 hours daily;2
39;35;16 hours/week;36 hours/week;5 hours;5 hours;7 hours daily;4
40;27;25 hours/week;43 hours/week;9 hours;9 hours;9 hours daily;5
41;36;16 hours/week;33 hours/week;4 hours;4 hours;6 hours daily;2
42;37;7 hours/week;16 hours/week;2 hours;2 hours;6 hours daily;0
43;40;28 hours/week;48 hours/week;7 hours;7 hours;8 hours daily;5
44;34;24 hours/week;40 hours/week;10 hours;10 hours;9 hours daily;5
45;24;13 hours/week;13 hours/week;1 hours;1 hours;5 hours daily;0
46;31;28 hours/week;53 hours/week;9 hours;9 hours;7 hours daily;5
47;30;0 hours/week;11 hours/week;1 hours;1 hours;4 hours daily;1
48;28;15 hours/week;33 hours/week;4 hours;4 hours;7 hours daily;4
49;39;28 hours/week;44 hours/week;9 hours;9 hours;8 hours daily;5
50;25;23 hours/week;47 hours/week;7 hours;7 hours;7 hours daily;5
51;39;4 hours/week;10 hours/week;2 hours;2 hours;4 hours daily;1
52;22;27 hours/week;50 hours/week;6 hours;6 hours;7 hours daily;5
53;40;18 hours/week;39 hours/week;5 hours;5 hours;7 hours daily;4
54;32;3 hours/week;20 hours/week;2 hours;2 hours;3 hours daily;2
55;23;20 hours/week;31 hours/week;2 hours;2 hours;6 hours daily;3
56;33;10 hours/week;10 hours/week;1 hours;1 hours;4 hours daily;2
57;22;8 hours/week;5 hours/week;1 hours;1 hours;6 hours daily;0
58;27;12 hours/week;7 hours/week;0 hours;0 hours;5 hours daily;1
59;35;13 hours/week;21 hours/week;2 hours;2 hours;3 hours daily;1
60;26;15 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;2
61;24;14 hours/week;32 hours/week;6 hours;6 hours;7 hours daily;2
62;24;12 hours/week;3 hours/week;1 hours;1 hours;3 hours daily;0
63;25;24 hours/week;43 hours/week;7 hours;7 hours;9 hours daily;5
64;21;22 hours/week;42 hours/week;11 hours;10 hours;7 hours daily;5
65;21;0 hours/week;1 hours/week;0 hours;0 hours;3 hours daily;1
66;27;22 hours/week;57 hours/week;11 hours;7 hours;9 hours daily;5
67;34;18 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;2
68;26;7 hours/week;12 hours/week;11 hours;1 hours;4 hours daily;0
69;38;20 hours/week;31 hours/week;3 hours;3 hours;6 hours daily;2
70;33;5 hours/week;19 hours/week;2 hours;2 hours;3 hours daily;0
71;33;16 hours/week;30 hours/week;4 hours;4 hours;6 hours daily;4
72;38;18 hours/week;32 hours/week;11 hours;4 hours;6 hours daily;4
73;27;24 hours/week;59 hours/week;7 hours;7 hours;9 hours daily;5
74;23;21 hours/week;48 hours/week;9 hours;9 hours;7 hours daily;5
75;40;19 hours/week;36 hours/week;2 hours;2 hours;6 hours daily;2
76;33;27 hours/week;53 hours/week;8 hours;8 hours;7 hours daily;5
77;27;14 hours/week;40 hours/week;3 hours;3 hours;6 hours daily;2
78;31;17 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;2
79;33;0 hours/week;1 hours/week;0 hours;0 hours;6 hours daily;1
80;36;22 hours/week;55 hours/week;8 hours;8 hours;9 hours daily;5
81;20;14 hours/week;31 hours/week;3 hours;3 hours;6 hours daily;4
82;25;3 hours/week;17 hours/week;2 hours;2 hours;3 hours daily;0
83;38;27 hours/week;45 hours/week;8 hours;8 hours;8 hours daily;5
84;33;28 hours/week;47 hours/week;10 hours;10 hours;7 hours daily;5
85;24;6 hours/week;14 hours/week;2 hours;2 hours;3 hours daily;0
86;25;1 hours/week;26 hours/week;2 hours;2 hours;5 hours daily;0
87;33;28 hours/week;43 hours/week;6 hours;6 hours;7 hours daily;5
88;28;28 hours/week;50 hours/week;7 hours;7 hours;9 hours daily;5
89;28;22 hours/week;60 hours/week;11 hours;10 hours;9 hours daily;5
90;39;10 hours/week;4 hours/week;2 hours;2 hours;6 hours daily;0
91;22;21 hours/week;59 hours/week;9 hours;9 hours;7 hours daily;5
92;32;17 hours/week;36 hours/week;5 hours;5 hours;7 hours daily;4
93;28;11 hours/week;5 hours/week;2 hours;2 hours;4 hours daily;1
94;35;4 hours/week;16 hours/week;0 hours;0 hours;4 hours daily;1
95;33;21 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;4
96;34;19 hours/week;37 hours/week;6 hours;6 hours;7 hours daily;2
97;23;19 hours/week;34 hours/week;4 hours;4 hours;6 hours daily;2
98;38;18 hours/week;40 hours/week;4 hours;4 hours;6 hours daily;2
99;34;2 hours/week;20 hours/week;2 hours;2 hours;6 hours daily;1
100;22;23 hours/week;48 hours/week;9 hours;9 hours;9 hours daily;5
101;25;12 hours/week;30 hours/week;1 hours;1 hours;5 hours daily;2
102;22;18 hours/week;39 hours/week;2 hours;2 hours;7 hours daily;3
