ID;Age;Family_Time;Works;Entertainment;Social_Life;Sleep;Economy
1;22;5 hours/week;2 hours/week;0 hours;0 hours;4 hours daily;2
2;31;20 hours/week;35 hours/week;11 hours;2 hours;6 hours daily;3
3;36;5 hours/week;14 hours/week;0 hours;0 hours;5 hours daily;0
4;36;24 hours/week;42 hours/week;7 hours;7 hours;7 hours daily;5
5;26;24 hours/week;52 hours/week;8 hours;8 hours;9 hours daily;5
6;27;21 hours/week;32 hours/week;3 hours;3 hours;7 hours daily;4
7;36;28 hours/week;46 hours/week;6 hours;6 hours;8 hours daily;5
8;27;16 hours/week;32 hours/week;5 hours;5 hours;7 hours daily;2
9;22;23 hours/week;41 hours/week;6 hours;6 hours;7 hours daily;5
10;35;17 hours/week;37 hours/week;5 hours;5 hours;6 hours daily;2
11;22;24 hours/week;57 hours/week;11 hours;7 hours;8 hours daily;5
12;31;9 hours/week;24 hours/week;1 hours;1 hours;4 hours daily;1
13;38;8 hours/week;8 hours/week;0 hours;0 hours;3 hours daily;0
14;22;7 hours/week;25 hours/week;0 hours;0 hours;4 hours daily;1
15;28;28 hours/week;47 hours/week;6 hours;6 hours;7 hours daily;5
16;22;16 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;4
17;26;18 hours/week;32 hours/week;3 hours;3 hours;6 hours daily;4
18;26;17 hours/week;38 hours/week;2 hours;2 hours;6 hours daily;3
19;30;13 hours/week;14 hours/week;1 hours;1 hours;4 hours daily;0
20;36;1 hours/week;24 hours/week;0 hours;0 hours;4 hours daily;2
21;20;8 hours/week;11 hours/week;1 hours;1 hours;6 hours daily;1
22;29;0 hours/week;26 hours/week;1 hours;1 hours;6 hours daily;0
23;23;2 hours/week;5 hours/week;1 hours;1 hours;6 hours daily;0
24;23;27 hours/week;59 hours/week;7 hours;7 hours;7 hours daily;5
25;28;23 hours/week;45 hours/week;7 hours;7 hours;8 hours daily;5
26;40;13 hours/week;12 hours/week;11 hours;2 hours;5 hours daily;0
27;36;24 hours/week;54 hours/week;8 hours;8 hours;9 hours daily;5
28;34;20 hours/week;35 hours/week;2 hours;2 hours;6 hours daily;4
29;26;7 hours/week;0 hours/week;2 hours;2 hours;3 hours daily;2
30;32;27 hours/week;42 hours/week;6 hours;6 hours;8 hours daily;5
31;28;21 hours/week;39 hours/week;2 hours;2 hours;7 hours daily;4
32;32;26 hours/week;44 hours/week;7 hours;7 hours;9 hours daily;5
33;38;4 hours/week;9 hours/week;1 hours;1 hours;5 hours daily;1
34;27;18 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;3
35;37;0 hours/week;8 hours/week;2 hours;2 hours;6 hours daily;0
36;33;14 hours/week;6 hours/week;1 hours;1 hours;5 hours daily;0
37;38;28 hours/week;45 hours/week;9 hours;9 hours;8 hours daily;5
38;29;28 hours/week;40 hours/week;10 hours;10 hours;7 hours daily;5
39;28;19 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;3
40;39;17 hours/week;34 hours/week;2 hours;2 hours;6 hours daily;3
41;20;14 hours/week;1 hours/week;2 hours;2 hours;6 hours daily;0
42;39;21 hours/week;42 hours/week;9 hours;9 hours;9 hours daily;5
43;37;25 hours/week;55 hours/week;6 hours;6 hours;7 hours daily;5
44;31;8 hours/week;13 hours/week;0 hours;0 hours;4 hours daily;0
45;28;19 hours/week;39 hours/week;2 hours;2 hours;7 hours daily;3
46;25;27 hours/week;60 hours/week;9 hours;9 hours;8 hours daily;5
47;31;24 hours/week;60 hours/week;8 hours;8 hours;7 hours daily;5
48;25;24 hours/week;48 hours/week;8 hours;8 hours;8 hours daily;5
49;40;16 hours/week;38 hours/week;5 hours;5 hours;7 hours daily;4
50;25;11 hours/week;24 hours/week;0 hours;0 hours;6 hours daily;2
51;26;9 hours/week;7 hours/week;0 hours;0 hours;3 hours daily;1
52;25;1 hours/week;11 hours/week;2 hours;2 hours;6 hours daily;0
53;21;3 hours/week;18 hours/week;2 hours;2 hours;4 hours daily;0
54;22;22 hours/week;53 hours/week;7 hours;7 hours;8 hours daily;5
55;35;21 hours/week;51 hours/week;9 hours;9 hours;8 hours daily;5
56;30;14 hours/week;35 hours/week;5 hours;5 hours;7 hours daily;2
57;26;28 hours/week;44 hours/week;10 hours;10 hours;9 hours daily;5
58;20;15 hours/week;33 hours/week;4 hours;4 hours;6 hours daily;2
59;36;7 hours/week;11 hours/week;2 hours;2 hours;5 hours daily;2
60;26;22 hours/week;56 hours/week;9 hours;9 hours;7 hours daily;5
61;40;26 hours/week;42 hours/week;10 hours;10 hours;7 hours daily;5
62;24;24 hours/week;52 hours/week;10 hours;10 hours;7 hours daily;5
63;39;14 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;3
64;34;10 hours/week;0 hours/week;11 hours;0 hours;5 hours daily;0
65;38;25 hours/week;55 hours/week;7 hours;7 hours;9 hours daily;5
66;22;14 hours/week;22 hours/week;2 hours;2 hours;4 hours daily;1
67;31;22 hours/week;47 hours/week;7 hours;7 hours;7 hours daily;5
68;37;25 hours/week;56 hours/week;6 hours;6 hours;7 hours daily;5
69;39;19 hours/week;37 hours/week;3 hours;3 hours;6 hours daily;2
70;32;2 hours/week;28 hours/week;0 hours;0 hours;6 hours daily;0
71;21;17 hours/week;33 hours/week;5 hours;5 hours;7 hours daily;4
72;26;21 hours/week;38 hours/week;3 hours;3 hours;6 hours daily;4
73;32;3 hours/week;6 hours/week;1 hours;1 hours;3 hours daily;1
74;40;7 hours/week;3 hours/week;0 hours;0 hours;4 hours daily;1
75;29;25 hours/week;52 hours/week;7 hours;7 hours;9 hours daily;5
76;34;21 hours/week;32 hours/week;2 hours;2 hours;7 hours daily;3
77;39;23 hours/week;56 hours/week;7 hours;7 hours;9 hours daily;5
78;37;9 hours/week;4 hours/week;1 hours;1 hours;5 hours daily;1
79;22;21 hours/week;41 hours/week;8 hours;8 hours;7 hours daily;5
80;25;0 hours/week;18 hours/week;0 hours;0 hours;5 hours daily;2
81;22;16 hours/week;34 hours/week;4 hours;4 hours;6 hours daily;3
82;24;8 hours/week;10 hours/week;2 hours;2 hours;6 hours daily;1
83;35;2 hours/week;13 hours/week;2 hours;2 hours;5 hours daily;1
84;29;11 hours/week;21 hours/week;0 hours;0 hours;5 hours daily;2
85;28;17 hours/week;32 hours/week;6 hours;6 hours;7 hours daily;4
86;30;4 hours/week;15 hours/week;2 hours;2 hours;3 hours daily;1
87;21;24 hours/week;46 hours/week;8 hours;8 hours;8 hours daily;5
88;20;4 hours/week;14 hours/week;1 hours;1 hours;6 hours daily;2
89;40;26 hours/week;55 hours/week;10 hours;10 hours;8 hours daily;5
90;28;14 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;4
91;22;14 hours/week;34 hours/week;4 hours;4 hours;6 hours daily;4
92;22;4 hours/week;8 hours/week;1 hours;1 hours;4 hours daily;2
93;25;27 hours/week;50 hours/week;6 hours;6 hours;7 hours daily;5
94;37;21 hours/week;47 hours/week;7 hours;7 hours;7 hours daily;5
95;38;18 hours/week;35 hours/week;5 hours;5 hours;6 hours daily;2
96;38;28 hours/week;49 hours/week;9 hours;9 hours;9 hours daily;5
